Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
acurry-kaki-single,A CURRY 牡蠣とココナッツのスープカレー 200g,"<p>海のミルクと、ココナッツミルク。2つのミルクを合わせた特製スープカレー。濃厚な国産牡蠣の旨みと磯の香りを、ココナッツの甘みでやさしく包み込むように仕上げました。ご当地レトルトカレー専門店「カレーランド」監修による、記憶に残る中辛の一皿です。</p><p>内容量：200g（1人前）／中辛</p>",A CURRY,レトルトカレー,"レトルトカレー,スープカレー,牡蠣,ココナッツ,単品",TRUE,タイプ,単品,ACRY-KAK-1,250,continue,manual,1180,TRUE,TRUE,,draft
acurry-yuzu-single,A CURRY 柚子胡椒プリプリ豚カレー 200g,"<p>和のスパイス「柚子胡椒」の爽やかな香りとピリッとした辛味がクセになる特製カレー。メイン具材にプリプリ食感の国産豚軟骨を使用。豚肉の旨みと柚子胡椒のさっぱりとした風味が絶妙にマッチした、記憶に残る一皿です。カレーランド監修。</p><p>内容量：200g（1人前）／ちょい辛</p>",A CURRY,レトルトカレー,"レトルトカレー,豚カレー,柚子胡椒,単品",TRUE,タイプ,単品,ACRY-YUZ-1,250,continue,manual,1180,TRUE,TRUE,,draft
acurry-nikujaga-single,A CURRY 肉じゃがカレー 200g,"<p>日本の家庭料理・肉じゃがをカレーとして再解釈した一品。柔らかいお肉とほくほくのじゃがいも、野菜の甘みが溶け込んだ、懐かしくて新しい味わい。記憶に残る、この一皿。</p><p>内容量：200g（1人前）</p>",A CURRY,レトルトカレー,"レトルトカレー,肉じゃが,単品",TRUE,タイプ,単品,ACRY-NIK-1,250,continue,manual,1180,TRUE,TRUE,,active
acurry-kaki-3,A CURRY 牡蠣とココナッツのスープカレー 3個セット,"<p>「牡蠣とココナッツのスープカレー」の3個セット。お気に入りをまとめて、ストックにもぴったり。</p><p>200g×3個／中辛</p>",A CURRY,セット,"レトルトカレー,牡蠣,セット,3個",TRUE,タイプ,3個セット,ACRY-KAK-3,900,continue,manual,3400,TRUE,TRUE,,draft
acurry-yuzu-3,A CURRY 柚子胡椒プリプリ豚カレー 3個セット,"<p>「柚子胡椒プリプリ豚カレー」の3個セット。クセになる味をまとめてどうぞ。</p><p>200g×3個／ちょい辛</p>",A CURRY,セット,"レトルトカレー,豚カレー,柚子胡椒,セット,3個",TRUE,タイプ,3個セット,ACRY-YUZ-3,900,continue,manual,3400,TRUE,TRUE,,draft
acurry-nikujaga-3,A CURRY 肉じゃがカレー 3個セット,"<p>「肉じゃがカレー」の3個セット。定番の味をおうちにストック。</p><p>200g×3個</p>",A CURRY,セット,"レトルトカレー,肉じゃが,セット,3個",TRUE,タイプ,3個セット,ACRY-NIK-3,900,continue,manual,3400,TRUE,TRUE,,active
acurry-mix-3,A CURRY 3種食べ比べセット 3個入り,"<p>牡蠣とココナッツ・柚子胡椒豚・肉じゃが、A CURRYの3種を1個ずつ。個性豊かな味わいを食べ比べできる、はじめての方にもおすすめのセットです。</p><p>200g×3種（各1個）</p>",A CURRY,セット,"レトルトカレー,食べ比べ,セット,3個,ギフト",TRUE,タイプ,3種食べ比べ,ACRY-MIX-3,900,continue,manual,3400,TRUE,TRUE,,draft
acurry-mix-6,A CURRY 3種食べ比べセット 6個入り,"<p>A CURRYの3種を2個ずつ、計6個。お気に入りを見つけたり、家族でシェアしたり。たっぷり楽しめるセットです。</p><p>200g×3種（各2個）</p>",A CURRY,セット,"レトルトカレー,食べ比べ,セット,6個,ギフト",TRUE,タイプ,3種食べ比べ,ACRY-MIX-6,1700,continue,manual,6300,TRUE,TRUE,,draft
acurry-mix-9,A CURRY 3種食べ比べセット 9個入り,"<p>A CURRYの3種を3個ずつ、計9個のたっぷりセット。まとめ買いで一番お得。ストックにもギフトにも。</p><p>200g×3種（各3個）</p>",A CURRY,セット,"レトルトカレー,食べ比べ,セット,9個,ギフト,まとめ買い",TRUE,タイプ,3種食べ比べ,ACRY-MIX-9,2500,continue,manual,9000,TRUE,TRUE,,draft
